date,region_id,region_intensity,urbanization_index,rainfall_mm,soil_saturation_pct,reservoir_level_pct,flash_flood,month,day_of_year,is_monsoon,rainfall_3d_sum,rainfall_7d_sum,rainfall_change_1day,soil_saturation_change_3day,reservoir_change_3day,rain_saturation_interaction,days_since_significant_rain
2020-01-01,region_1,1.319,0.439,23.3,24.8,39.7,0,1,1,0,23.3,23.3,0.0,0.0,0.0,5.7784,0
2020-01-02,region_1,1.319,0.439,0.1,41.1,37.0,0,1,2,0,23.4,23.4,-23.2,0.0,0.0,0.041100000000000005,1
2020-01-03,region_1,1.319,0.439,10.6,31.2,38.9,0,1,3,0,34.0,34.0,10.5,0.0,0.0,3.3072,0
2020-01-04,region_1,1.319,0.439,0.3,36.2,40.0,0,1,4,0,11.0,34.3,-10.299999999999999,11.400000000000002,0.29999999999999716,0.10860000000000002,1
2020-01-05,region_1,1.319,0.439,0.7,24.9,38.0,0,1,5,0,11.6,35.0,0.39999999999999997,-16.200000000000003,1.0,0.17429999999999995,2
2020-01-06,region_1,1.319,0.439,0.9,25.0,37.3,0,1,6,0,1.9,35.9,0.20000000000000007,-6.199999999999999,-1.6000000000000014,0.225,3
2020-01-07,region_1,1.319,0.439,6.1,21.4,35.0,0,1,7,0,7.699999999999999,42.0,5.199999999999999,-14.800000000000004,-5.0,1.3054,4
2020-01-08,region_1,1.319,0.439,0.4,22.6,36.6,0,1,8,0,7.399999999999999,19.1,-5.699999999999999,-2.299999999999997,-1.3999999999999986,0.09040000000000001,5
2020-01-09,region_1,1.319,0.439,0.4,17.8,36.3,0,1,9,0,6.9,19.4,0.0,-7.199999999999999,-1.0,0.07120000000000001,6
2020-01-10,region_1,1.319,0.439,1.5,25.0,35.9,0,1,10,0,2.3,10.3,1.1,3.6000000000000014,0.8999999999999986,0.375,7
2020-01-11,region_1,1.319,0.439,0.2,17.9,34.2,0,1,11,0,2.1,10.2,-1.3,-4.700000000000003,-2.3999999999999986,0.0358,8
2020-01-12,region_1,1.319,0.439,0.7,15.3,34.1,0,1,12,0,2.4,10.2,0.49999999999999994,-2.5,-2.1999999999999957,0.10709999999999999,9
2020-01-13,region_1,1.319,0.439,0.4,18.7,34.3,0,1,13,0,1.2999999999999998,9.7,-0.29999999999999993,-6.300000000000001,-1.6000000000000014,0.0748,10
2020-01-14,region_1,1.319,0.439,0.1,15.7,38.3,0,1,14,0,1.2,3.7,-0.30000000000000004,-2.1999999999999993,4.099999999999994,0.015700000000000002,11
2020-01-15,region_1,1.319,0.439,0.6,18.6,38.7,0,1,15,0,1.1,3.9,0.5,3.3000000000000007,4.600000000000001,0.1116,12
2020-01-16,region_1,1.319,0.439,9.2,21.2,38.2,0,1,16,0,9.9,12.7,8.6,2.5,3.9000000000000057,1.9504,13
2020-01-17,region_1,1.319,0.439,0.2,24.2,41.4,0,1,17,0,9.999999999999998,11.4,-9.0,8.5,3.1000000000000014,0.0484,14
2020-01-18,region_1,1.319,0.439,0.5,20.4,41.1,0,1,18,0,9.9,11.699999999999998,0.3,1.7999999999999972,2.3999999999999986,0.102,15
2020-01-19,region_1,1.319,0.439,0.3,13.8,38.7,0,1,19,0,1.0,11.3,-0.2,-7.399999999999999,0.5,0.0414,16
2020-01-20,region_1,1.319,0.439,0.0,13.7,43.6,0,1,20,0,0.8,10.9,-0.3,-10.5,2.200000000000003,0.0,17
2020-01-21,region_1,1.319,0.439,0.3,8.6,41.9,0,1,21,0,0.6,11.1,0.3,-11.799999999999999,0.7999999999999972,0.025799999999999997,18
2020-01-22,region_1,1.319,0.439,0.3,4.3,39.6,0,1,22,0,0.6,10.8,0.0,-9.5,0.8999999999999986,0.012899999999999998,19
2020-01-23,region_1,1.319,0.439,53.1,4.6,37.9,0,1,23,0,53.7,54.7,52.800000000000004,-9.1,-5.700000000000003,2.4426,0
2020-01-24,region_1,1.319,0.439,0.6,37.3,40.0,0,1,24,0,54.00000000000001,55.1,-52.5,28.699999999999996,-1.8999999999999986,0.2238,1
2020-01-25,region_1,1.319,0.439,0.1,28.1,43.6,0,1,25,0,53.8,54.7,-0.5,23.8,4.0,0.028100000000000003,2
2020-01-26,region_1,1.319,0.439,9.6,32.8,41.8,0,1,26,0,10.3,64.0,9.5,28.199999999999996,3.8999999999999986,3.1487999999999996,3
2020-01-27,region_1,1.319,0.439,0.1,45.5,40.8,0,1,27,0,9.8,64.10000000000001,-9.5,8.200000000000003,0.7999999999999972,0.0455,4
2020-01-28,region_1,1.319,0.439,1.2,41.2,42.4,0,1,28,0,10.9,65.0,1.0999999999999999,13.100000000000001,-1.2000000000000028,0.49440000000000006,5
2020-01-29,region_1,1.319,0.439,1.2,32.5,43.2,0,1,29,0,2.5,65.9,0.0,-0.29999999999999716,1.4000000000000057,0.39,6
2020-01-30,region_1,1.319,0.439,0.9,34.1,42.6,0,1,30,0,3.3,13.7,-0.29999999999999993,-11.399999999999999,1.8000000000000043,0.3069,7
2020-01-31,region_1,1.319,0.439,0.2,25.9,40.9,0,1,31,0,2.3,13.3,-0.7,-15.300000000000004,-1.5,0.0518,8
